2026-02-20 00:22:14,488 | classifier.pathogenicity       | INFO     | Comparison complete: 4 categories across samples 1 vs 1
2026-02-20 00:22:15,444 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_register_sample0\test.db)
2026-02-20 00:22:15,481 | db.manager                     | INFO     | Registered sample 'test_sample' (id=1)
2026-02-20 00:22:15,714 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_duplicate_sample_returns_0\test.db)
2026-02-20 00:22:15,769 | db.manager                     | INFO     | Registered sample 'dup' (id=1)
2026-02-20 00:22:15,781 | db.manager                     | INFO     | Sample 'dup' already exists (id=1)
2026-02-20 00:22:15,981 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_get_sample0\test.db)
2026-02-20 00:22:16,023 | db.manager                     | INFO     | Registered sample 'lookup_test' (id=1)
2026-02-20 00:22:16,626 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_get_sample_missing0\test.db)
2026-02-20 00:22:16,928 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_list_samples0\test.db)
2026-02-20 00:22:16,972 | db.manager                     | INFO     | Registered sample 's1' (id=1)
2026-02-20 00:22:16,987 | db.manager                     | INFO     | Registered sample 's2' (id=2)
2026-02-20 00:22:17,264 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_load_vfdb_from_file0\test.db)
2026-02-20 00:22:17,349 | db.manager                     | INFO     | VFDB loading complete: 2 new entries
2026-02-20 00:22:17,602 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_categorisation_adherence0\test.db)
2026-02-20 00:22:17,673 | db.manager                     | INFO     | VFDB loading complete: 1 new entries
2026-02-20 00:22:17,931 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_categorisation_exotoxin0\test.db)
2026-02-20 00:22:18,044 | db.manager                     | INFO     | VFDB loading complete: 1 new entries
2026-02-20 00:22:18,248 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_no_duplicates_on_reload0\test.db)
2026-02-20 00:22:18,294 | db.manager                     | INFO     | VFDB loading complete: 1 new entries
2026-02-20 00:22:18,298 | db.manager                     | INFO     | VFDB loading complete: 0 new entries
2026-02-20 00:22:19,039 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_run_computes_stats0\test_runner.db)
2026-02-20 00:22:19,040 | alignment.wrapper              | INFO     | AlignmentWrapper initialised
2026-02-20 00:22:19,042 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-20 00:22:19,043 | reporter.visualisation         | INFO     | PathogenicityReporter output_dir=C:\Users\38099\PycharmProjects\NumericalMethods\Bioinformatics\data\results
2026-02-20 00:22:19,044 | pipeline_runner                | INFO     | PipelineRunner initialised
2026-02-20 00:22:19,047 | pipeline_runner                | INFO     | Step 1/6: Computing read statistics for C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_run_computes_stats0\sample_reads.fasta
2026-02-20 00:22:19,076 | pipeline_runner                | INFO     |   Reads=3  Bases=1800  MeanLen=600  N50=1000  GC=50.0%
2026-02-20 00:22:19,078 | pipeline_runner                | INFO     | Step 2/6: Registering sample 'stats_test'
2026-02-20 00:22:19,108 | db.manager                     | INFO     | Registered sample 'stats_test' (id=1)
2026-02-20 00:22:19,109 | pipeline_runner                | INFO     | Step 3/6: Skipping VF alignment
2026-02-20 00:22:19,109 | pipeline_runner                | INFO     | Step 4/6: Skipping AMR alignment
2026-02-20 00:22:19,110 | pipeline_runner                | INFO     | Step 5/6: Classifying pathogenicity profile
2026-02-20 00:22:19,122 | classifier.pathogenicity       | WARNING  | No alignment hits for sample_id=1
2026-02-20 00:22:19,123 | pipeline_runner                | INFO     |   Categories found: 0
2026-02-20 00:22:19,124 | pipeline_runner                | INFO     | Step 6/6: Generating reports
2026-02-20 00:22:19,124 | pipeline_runner                | WARNING  |   No profiles to report (no alignment hits?)
2026-02-20 00:22:19,126 | pipeline_runner                | INFO     | Pipeline complete for 'stats_test'
2026-02-20 00:22:19,327 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_run_registers_sample0\test_runner.db)
2026-02-20 00:22:19,330 | alignment.wrapper              | INFO     | AlignmentWrapper initialised
2026-02-20 00:22:19,333 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-20 00:22:19,335 | reporter.visualisation         | INFO     | PathogenicityReporter output_dir=C:\Users\38099\PycharmProjects\NumericalMethods\Bioinformatics\data\results
2026-02-20 00:22:19,335 | pipeline_runner                | INFO     | PipelineRunner initialised
2026-02-20 00:22:19,335 | pipeline_runner                | INFO     | Step 1/6: Computing read statistics for C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_run_registers_sample0\sample_reads.fasta
2026-02-20 00:22:19,341 | pipeline_runner                | INFO     |   Reads=3  Bases=1800  MeanLen=600  N50=1000  GC=50.0%
2026-02-20 00:22:19,341 | pipeline_runner                | INFO     | Step 2/6: Registering sample 'register_test'
2026-02-20 00:22:19,377 | db.manager                     | INFO     | Registered sample 'register_test' (id=1)
2026-02-20 00:22:19,378 | pipeline_runner                | INFO     | Step 3/6: Skipping VF alignment
2026-02-20 00:22:19,378 | pipeline_runner                | INFO     | Step 4/6: Skipping AMR alignment
2026-02-20 00:22:19,378 | pipeline_runner                | INFO     | Step 5/6: Classifying pathogenicity profile
2026-02-20 00:22:19,396 | classifier.pathogenicity       | WARNING  | No alignment hits for sample_id=1
2026-02-20 00:22:19,397 | pipeline_runner                | INFO     |   Categories found: 0
2026-02-20 00:22:19,397 | pipeline_runner                | INFO     | Step 6/6: Generating reports
2026-02-20 00:22:19,397 | pipeline_runner                | WARNING  |   No profiles to report (no alignment hits?)
2026-02-20 00:22:19,399 | pipeline_runner                | INFO     | Pipeline complete for 'register_test'
2026-02-20 00:22:19,653 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_run_file_not_found0\test_runner.db)
2026-02-20 00:22:19,654 | alignment.wrapper              | INFO     | AlignmentWrapper initialised
2026-02-20 00:22:19,655 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-20 00:22:19,656 | reporter.visualisation         | INFO     | PathogenicityReporter output_dir=C:\Users\38099\PycharmProjects\NumericalMethods\Bioinformatics\data\results
2026-02-20 00:22:19,656 | pipeline_runner                | INFO     | PipelineRunner initialised
2026-02-20 00:22:19,966 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_classify_seeded_data0\test_runner.db)
2026-02-20 00:22:19,968 | alignment.wrapper              | INFO     | AlignmentWrapper initialised
2026-02-20 00:22:19,968 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-20 00:22:19,970 | reporter.visualisation         | INFO     | PathogenicityReporter output_dir=C:\Users\38099\PycharmProjects\NumericalMethods\Bioinformatics\data\results
2026-02-20 00:22:19,970 | pipeline_runner                | INFO     | PipelineRunner initialised
2026-02-20 00:22:19,998 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 1 categories
2026-02-20 00:22:20,207 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_comparison_seeded0\test_runner.db)
2026-02-20 00:22:20,211 | alignment.wrapper              | INFO     | AlignmentWrapper initialised
2026-02-20 00:22:20,211 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-20 00:22:20,212 | reporter.visualisation         | INFO     | PathogenicityReporter output_dir=C:\Users\38099\PycharmProjects\NumericalMethods\Bioinformatics\data\results
2026-02-20 00:22:20,213 | pipeline_runner                | INFO     | PipelineRunner initialised
2026-02-20 00:22:20,268 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 1 categories
2026-02-20 00:22:20,285 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 1 categories
2026-02-20 00:22:20,285 | classifier.pathogenicity       | INFO     | Comparison complete: 1 categories across samples 1 vs 1
2026-02-20 00:22:24,093 | reporter.visualisation         | INFO     | Saved heatmap -> C:\Users\38099\PycharmProjects\NumericalMethods\Bioinformatics\data\results\compare_pre_seeded_vs_pre_seeded_heatmap.html
2026-02-20 00:22:24,242 | reporter.visualisation         | INFO     | Saved fold-change chart -> C:\Users\38099\PycharmProjects\NumericalMethods\Bioinformatics\data\results\fold_change_pre_seeded_vs_pre_seeded.html
2026-02-20 00:22:24,243 | pipeline_runner                | INFO     | Comparison complete: pre_seeded vs pre_seeded (1 categories)
2026-03-08 19:41:30,815 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\PycharmProjects\NumericalMethods\Bioinformatics\data\nanopore_pipeline.db)
2026-03-08 19:41:30,816 | alignment.wrapper              | INFO     | AlignmentWrapper initialised
